Installation Name,Stop ID,Site,Asset Installed (F),Product Name,Council District,Project Type,Project Planning,Installation Status,Site Design Status,Site Design,Install Completed (A),Shelter Size,Power Source,Power AP ID
Broad St & Christian St - Shelter 546 - Legacy,15195,Broad St & Christian St - Shelter 546,,Static Bus Shelter,2,New Design & Install,Philly Static Bus Shelters - Legacy,Live,Completed,Broad St & Christian St - Shelter 546 - Legacy,01/01/2001,,,
Broad St & Curtin St - Shelter 262,17229,Broad St & Curtin St - Shelter 262,,Static Bus Shelter,2,New Design & Install,Philly Static Bus Shelters - Legacy,Live,Completed,Broad St & Curtin St - Shelter 262,01/01/2001,,,
Broad St & Grange St - Shelter 149,17319,Broad St & Grange St - Shelter 149,,Static Bus Shelter,9,New Design & Install,Philly Static Bus Shelters - Legacy,Live,Completed,Broad St & Grange St - Shelter 149,01/01/2001,,,
Broad St & Locust St - Shelter AA04,15187,Broad St & Locust St - Shelter AA04,,Static Bus Shelter,2,New Design & Install,Philly Static Bus Shelters - Legacy,Live,Completed,Broad St & Locust St - Shelter AA04,01/01/2001,,,
Broad St & Loudon St - Shelter 163,17310,Broad St & Loudon St - Shelter 163,,Static Bus Shelter,8,New Design & Install,Philly Static Bus Shelters - Legacy,Live,Completed,Broad St & Loudon St - Shelter 163,01/01/2001,,,
Broad St & Montgomery Av - Shelter 212,17161,Broad St & Montgomery Av - Shelter 212,,Static Bus Shelter,5,New Design & Install,Philly Static Bus Shelters - Legacy,Live,Completed,Broad St & Montgomery Av - Shelter 212,01/01/2001,,,
Broad St & Norris St - Shelter 238,17280,Broad St & Norris St - Shelter 238,,Static Bus Shelter,5,New Design & Install,Philly Static Bus Shelters - Legacy,Live,Completed,Broad St & Norris St - Shelter 238,01/01/2001,,,
Broad St & Pine St - Shelter AA07 - Legacy,15189,Broad St & Pine St - Shelter AA07,,Static Bus Shelter,2,New Design & Install,Philly Static Bus Shelters - Legacy,Live,Completed,Broad St & Pine St - Shelter AA07 - Legacy,01/01/2001,,,
Broad St & Ruscomb St - Shelter 240,17312,Broad St & Ruscomb St - Shelter 240,,Static Bus Shelter,8,New Design & Install,Philly Static Bus Shelters - Legacy,Live,Completed,Broad St & Ruscomb St - Shelter 240,01/01/2001,,,
Broad St & S Penn Square - Shelter 1 - Legacy,20414,Broad St & S Penn Square - Shelter 1,,Static Bus Shelter,5,New Design & Install,Philly Static Bus Shelters - Legacy,Live,Completed,Broad St & S Penn Square - Shelter 1 - Legacy,01/01/2001,,,
Broad St & Somerville Av - Shelter 483,15775,Broad St & Somerville Av - Shelter 483,,Static Bus Shelter,8,New Design & Install,Philly Static Bus Shelters - Legacy,Live,Completed,Broad St & Somerville Av - Shelter 483,01/01/2001,,,
Broad St & Spruce St - Shelter AA05 - Legacy,5318,Broad St & Spruce St - Shelter AA05,,Static Bus Shelter,2,New Design & Install,Philly Static Bus Shelters - Legacy,Live,Completed,Broad St & Spruce St - Shelter AA05 - Legacy,01/01/2001,,,
Broad St & Spruce St - Shelter AA06,15188,Broad St & Spruce St - Shelter AA06,,Static Bus Shelter,2,New Design & Install,Philly Static Bus Shelters - Legacy,Live,Completed,Broad St & Spruce St - Shelter AA06,01/01/2001,,,
Broad St & Tioga St - Shelter 199 - Legacy,17299,Broad St & Tioga St - Shelter 199,,Static Bus Shelter,5,New Design & Install,Philly Static Bus Shelters - Legacy,Live,Completed,Broad St & Tioga St - Shelter 199 - Legacy,01/01/2001,,,
Broad St & Zinkoff Blvd - MBNS - Shelter 815,30558,Broad St & Zinkoff Blvd - MBNS - Shelter 815,,Static Bus Shelter,2,New Design & Install,Philly Static Bus Shelters - Legacy,Live,Completed,Broad St & Zinkoff Blvd - MBNS - Shelter 815,01/01/2001,,,
