stop_id,stop_name,FALSE,TRUE,over_2,under_2,total,pct_over_2,stop_lat,stop_lon,ons,offs,Project.Planning
SEPTA21200,Roosevelt Blvd & Grant Av - FS,203,NA,0,203,203,0,40.080991,-75.028078,82.98698658126949,380.5443733459483,NA
SEPTA21256,49th St & Woodland Av,308,NA,0,308,308,0,39.940866,-75.212759,159.49285714285713,272.3314484126984,NA
SEPTA21292,20th St & Ritner St,107,NA,0,107,107,0,39.921831,-75.179966,147.532116675558,8.078632967542156,NA
SEPTA21294,20th St & Jackson St,113,NA,0,113,113,0,39.924284,-75.17945,110.96150804753603,12.770016984423853,NA
SEPTA21296,20th St & McKean St,108,NA,0,108,108,0,39.926728,-75.178922,140.3224458491881,24.064801945947472,NA
SEPTA21297,20th St & Mifflin St,99,NA,0,99,99,0,39.927942,-75.178646,166.61044932237294,29.872555065895916,NA
SEPTA213,Chelten Av & Baynton St,231,NA,0,231,231,0,40.038722,-75.171649,203.02246999646377,83.38244800005636,NA
SEPTA21300,20th St & Tasker St,100,NA,0,100,100,0,39.931608,-75.177854,146.92926668510594,49.362974541599215,NA
SEPTA21301,20th St & Dickinson St,106,NA,0,106,106,0,39.932812,-75.177602,136.20336878581,20.79611143990271,NA
SEPTA21303,20th St & Wharton St,109,NA,0,109,109,0,39.935275,-75.177062,117.56727901457802,27.272480953848024,NA
SEPTA21304,20th St & Federal St,100,NA,0,100,100,0,39.937184,-75.176642,155.93454339071866,32.403115621764165,NA
SEPTA21306,20th St & Carpenter St,123,NA,0,123,123,0,39.940136,-75.175994,79.15753222725,15.944283598294751,NA
SEPTA21311,20th St & South St,124,NA,0,124,124,0,39.944731,-75.174974,78.49309639792574,51.187534800122144,NA
SEPTA21317,20th St & Market St,118,NA,0,118,118,0,39.953437,-75.173125,94.50287070459089,371.8468491017004,NA
SEPTA21357,Chestnut St & 31st St,210,NA,0,210,210,0,39.95348,-75.185359,109,114,NA
SEPTA21426,40th St & Walnut St,141,NA,0,141,141,0,39.954208,-75.202633,102,259,NA
SEPTA21449,34th St & Walnut St - FS,248,NA,0,248,248,0,39.952493,-75.192247,113.34316907808393,307.6389637071448,NA
SEPTA21530,Old York Rd & 66th Av,115,NA,0,115,115,0,40.05375,-75.141805,157.49841200919306,233.8607712816051,NA
SEPTA21606,Frankford Av & Harbison Av,174,NA,0,174,174,0,40.027419,-75.062589,88.04396299435001,114.86686332243606,NA
SEPTA21607,Frankford Av & Levick St,177,NA,0,177,177,0,40.028459,-75.057962,83.32606850493846,152.3804555051072,NA
SEPTA21608,Frankford Av & Hellerman St,175,NA,0,175,175,0,40.029373,-75.056148,87.32635659404237,162.09755171728852,NA
